# Logfile created on 2016-10-23 15:01:28 +0000 by logger.rb/44203
[2016-10-23T15:01:28+00:00] INFO: Started chef-zero at chefzero://localhost:8889 with repository at /opt/gitlab/embedded
  One version per cookbook

[2016-10-23T15:01:28+00:00] INFO: Forking chef instance to converge...
[2016-10-23T15:01:28+00:00] INFO: *** Chef 12.6.0 ***
[2016-10-23T15:01:28+00:00] INFO: Chef-client pid: 33
[2016-10-23T15:01:30+00:00] WARN: unable to detect ipaddress
[2016-10-23T15:01:30+00:00] INFO: HTTP Request Returned 404 Not Found: Object not found: chefzero://localhost:8889/nodes/7ffb0bd9015c
[2016-10-23T15:01:30+00:00] INFO: Setting the run_list to ["recipe[gitlab]"] from CLI options
[2016-10-23T15:01:30+00:00] INFO: Run List is [recipe[gitlab]]
[2016-10-23T15:01:30+00:00] INFO: Run List expands to [gitlab]
[2016-10-23T15:01:30+00:00] INFO: Starting Chef Run for 7ffb0bd9015c
[2016-10-23T15:01:30+00:00] INFO: Running start handlers
[2016-10-23T15:01:30+00:00] INFO: Start handlers complete.
[2016-10-23T15:01:30+00:00] INFO: HTTP Request Returned 404 Not Found: Object not found: 
[2016-10-23T15:01:31+00:00] INFO: Loading cookbooks [gitlab@0.0.1, runit@0.14.2, package@0.0.0]
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remove_accounts.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/web-server.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/ci-redis_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgresql_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/show_config.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/ci-sidekiq_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/users.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mattermost_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/default.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/definitions/template_symlink.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/definitions/env_dir.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/definitions/redis_service.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-ci-proxying.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/ci-sidekiq.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mattermost.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/definitions/account.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_config.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/definitions/sidekiq_service.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/cron.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate.conf.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mattermost-log-config.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgresql-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-ci-http.conf.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mattermost-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/definitions/sysctl.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helper.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_service.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/libraries/account_helper.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-config.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/files/default/mail_room.yml in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-config.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/pg_hba.conf.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/smtp_settings.rb.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secret_token.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/unicorn.rb.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-log-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/attributes/default.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-nginx-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-config.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate-service.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/resque.yml.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mattermost-log-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/registry-config.yml.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-psql-rc.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-registry-log-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-config.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-registry-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-config.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab.yml.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-control-t.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/database.yml.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secrets.yml.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-config.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-rc.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/postgresql.conf.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/rack_attack.rb.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/redis.conf.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-pages-http.conf.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-shell-config.yml.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx.conf.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-nginx-log-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/postgresql-init.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-config.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-http.conf.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-control-t.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-finish.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/pg_ident.conf.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/mount_point_check.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-registry-http.conf.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-mattermost-http.conf.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig-system.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-nginx-log-config.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/remote_syslog.yml.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgresql-log-config.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-log-config.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/relative_url.rb.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/aws.yml.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgresql-control-t.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgresql-log-run.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/runit/attributes/default.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/runit/recipes/sysvinit.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/runit/recipes/systemd.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-registry-log-config.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/runit/README.md in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-ci-rc.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/runit/definitions/runit_service.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/config.json.erb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/metadata.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/runit/files/default/gitlab-runsvdir.service in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/runit/recipes/upstart.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/runit/recipes/default.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/runit/metadata.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/package/attributes/default.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/runit/files/default/gitlab-runsvdir.conf in the cache.
[2016-10-23T15:01:31+00:00] INFO: directory[/etc/gitlab] owner changed to 0
[2016-10-23T15:01:31+00:00] INFO: directory[/etc/gitlab] group changed to 0
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for directory[/var/opt/gitlab] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous directory[/var/opt/gitlab]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/recipes/default.rb:43:in `from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  directory[/var/opt/gitlab]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/recipes/users.rb:24:in `from_file'
[2016-10-23T15:01:32+00:00] WARN: Skipped selecting an init system because it looks like we are running in a container
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for directory[/etc/sysctl.d] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous directory[/etc/sysctl.d]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:22:in `block in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  directory[/etc/sysctl.d]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:22:in `block in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for file[/etc/sysctl.d/90-postgresql.conf] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous file[/etc/sysctl.d/90-postgresql.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  file[/etc/sysctl.d/90-postgresql.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for file[/etc/sysctl.d/90-unicorn.conf] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous file[/etc/sysctl.d/90-unicorn.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  file[/etc/sysctl.d/90-unicorn.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for file[/opt/gitlab/embedded/etc/90-omnibus-gitlab.conf] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous file[/opt/gitlab/embedded/etc/90-omnibus-gitlab.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  file[/opt/gitlab/embedded/etc/90-omnibus-gitlab.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for file[/etc/sysctl.d/90-omnibus-gitlab.conf] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous file[/etc/sysctl.d/90-omnibus-gitlab.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  file[/etc/sysctl.d/90-omnibus-gitlab.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for execute[load sysctl conf] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous execute[load sysctl conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:52:in `block in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  execute[load sysctl conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:52:in `block in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for directory[/etc/sysctl.d] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous directory[/etc/sysctl.d]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:22:in `block in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  directory[/etc/sysctl.d]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:22:in `block in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for file[/etc/sysctl.d/90-postgresql.conf] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous file[/etc/sysctl.d/90-postgresql.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  file[/etc/sysctl.d/90-postgresql.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for file[/etc/sysctl.d/90-unicorn.conf] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous file[/etc/sysctl.d/90-unicorn.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  file[/etc/sysctl.d/90-unicorn.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for file[/opt/gitlab/embedded/etc/90-omnibus-gitlab.conf] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous file[/opt/gitlab/embedded/etc/90-omnibus-gitlab.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  file[/opt/gitlab/embedded/etc/90-omnibus-gitlab.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for file[/etc/sysctl.d/90-omnibus-gitlab.conf] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous file[/etc/sysctl.d/90-omnibus-gitlab.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  file[/etc/sysctl.d/90-omnibus-gitlab.conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:45:in `block (2 levels) in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for execute[load sysctl conf] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous execute[load sysctl conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:52:in `block in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  execute[load sysctl conf]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/sysctl.rb:52:in `block in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for directory[/var/opt/gitlab/gitlab-rails/etc] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous directory[/var/opt/gitlab/gitlab-rails/etc]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/recipes/gitlab-rails.rb:91:in `block in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  directory[/var/opt/gitlab/gitlab-rails/etc]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/definitions/unicorn_config.rb:21:in `block in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for service[unicorn] from prior resource (CHEF-3694)
[2016-10-23T15:01:32+00:00] WARN: Previous service[unicorn]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/gitlab/recipes/default.rb:91:in `block in from_file'
[2016-10-23T15:01:32+00:00] WARN: Current  service[unicorn]: /opt/gitlab/embedded/cookbooks/cache/cookbooks/runit/definitions/runit_service.rb:191:in `block in from_file'
[2016-10-23T15:01:32+00:00] WARN: Cloning resource attributes for directory[/etc/sysctl.d] from prior resource (CHEF-3694)
